character,frequency,is_variant,filter_layer,reason,modern_equivalents
曡,4,True,1,Unihan variant of {'叠'},叠
燑,4,False,,passed all layers — likely truly disappeared,
赗,3,False,,passed all layers — likely truly disappeared,
糦,3,False,,passed all layers — likely truly disappeared,
谂,3,False,,passed all layers — likely truly disappeared,
伣,3,False,,passed all layers — likely truly disappeared,
踘,3,False,,passed all layers — likely truly disappeared,
槱,3,False,,passed all layers — likely truly disappeared,
棽,3,False,,passed all layers — likely truly disappeared,
祺,3,False,,passed all layers — likely truly disappeared,
梡,3,False,,passed all layers — likely truly disappeared,
勚,3,False,,passed all layers — likely truly disappeared,
簨,3,False,,passed all layers — likely truly disappeared,
篛,3,False,,passed all layers — likely truly disappeared,
窡,3,False,,passed all layers — likely truly disappeared,
槖,3,True,1,Unihan variant of {'橐'},橐
痟,3,False,,passed all layers — likely truly disappeared,
楡,3,False,,passed all layers — likely truly disappeared,
搉,3,False,,passed all layers — likely truly disappeared,
枍,3,False,,passed all layers — likely truly disappeared,
鄏,3,False,,passed all layers — likely truly disappeared,
鶵,3,False,,passed all layers — likely truly disappeared,
譀,3,False,,passed all layers — likely truly disappeared,
脃,3,True,1,Unihan variant of {'脆'},脆
鵞,3,False,,passed all layers — likely truly disappeared,
趢,3,False,,passed all layers — likely truly disappeared,
鵄,3,False,,passed all layers — likely truly disappeared,
朾,3,False,,passed all layers — likely truly disappeared,
瘀,3,False,,passed all layers — likely truly disappeared,
涖,3,True,1,Unihan variant of {'莅'},莅
膓,3,False,,passed all layers — likely truly disappeared,
廾,3,False,,passed all layers — likely truly disappeared,
朿,3,False,,passed all layers — likely truly disappeared,
罻,3,False,,passed all layers — likely truly disappeared,
尠,3,False,,passed all layers — likely truly disappeared,
璪,3,False,,passed all layers — likely truly disappeared,
